;RF0812 (frozen);RF0893 (frozen);RF0899 (frozen);RF1011 (frozen);RF1012 (frozen);RF1013 (frozen);RF1020 (frozen);RF1031 (frozen);RF1032 (frozen);RF1039 (frozen)
2024-07-01;81,909478;103,21871;88,535142;89,841242;98,492642;100,627126;92,422291;114,03496;89,139323;101,070966
2024-08-01;80,651006;106,382915;88,376426;89,638484;96,072981;101,139033;94,425067;119,90631;86,111228;121,747474
2024-09-01;81,86189;92,086638;85,384746;92,862112;98,876638;99,919421;92,860225;116,441459;89,757223;100,265471
2024-10-01;80,256721;90,196216;75,980808;93,081751;98,657375;105,049582;93,625487;114,278838;82,77737;107,534295
2024-11-01;82,885462;87,050356;103,812838;90,630194;98,351164;101,500324;96,931526;113,942756;90,700763;102,151761
2024-12-01;85,356983;93,667839;84,86281;92,948069;99,113013;100,968263;98,91414;118,338071;95,070657;99,229198
2025-01-01;79,859067;61,249868;90,417283;91,788885;102,241508;100,952941;91,931326;116,763908;90,521718;103,05955
2025-02-01;80,001506;92,826705;84,803246;91,301089;102,015374;102,451989;95,204427;115,253156;88,477793;101,501344
2025-03-01;78,973586;82,261397;83,080364;89,690152;102,279619;97,762908;93,554384;116,14894;81,877849;103,841516
2025-04-01;77,923326;101,549827;87,35688;93,168162;102,515418;104,31965;92,090041;111,268314;88,243656;103,12755
2025-05-01;75,059134;66,463047;82,436147;89,345171;100,708549;100,694607;91,274363;111,166314;89,333393;104,849282
2025-06-01;75,769275;83,823673;90,460603;91,951004;104,652927;101,054166;90,684392;108,664453;85,963561;109,81371
2025-07-01;77,487431;78,8236;100,447347;91,754954;102,558323;102,118623;93,955771;117,459422;89,869394;94,623496
2025-08-01;79,338072;87,229362;86,901959;89,106453;100,28355;100,977022;92,49471;113,268183;88,114532;92,624242
2025-09-01;76,637244;79,796411;90,023204;91,105271;98,285507;100,727625;93,426143;110,339967;83,910584;90,885673
2025-10-01;76,536726;77,751796;85,524193;90,267131;100,032124;99,85577;96,106156;110,642597;79,876132;87,925647
