;IPI_nace4 * RF1011 (frozen);IPI_nace4 * RF1051 (frozen);IPI_nace4 * RF1081 (frozen);IPI_nace4 * RF1086 (frozen);IPI_nace4 * RF1200 (frozen);IPI_nace4 * RF1391 (frozen);RF1039 (frozen);RF1041 (frozen);RF1042 (frozen);RF1051 (frozen);RF1052 (frozen)
2002-12-01;109,52854;93,893466;160,342915;63,369002;403,487458;250,765487;58,410632;57,395982;192,944488;94,425654;45,154282
2003-01-01;115,577022;100,716752;210,108316;68,999068;535,213388;414,130361;57,300273;56,014314;189,363354;101,29057;66,904807
2003-02-01;102,647304;89,891838;175,86735;55,083557;513,05386;341,060172;47,595606;51,576936;174,747671;90,407734;70,647145
2003-03-01;110,478914;97,051773;211,983722;70,590319;553,064119;399,178981;45,768416;60,705;166,479037;97,608531;100,156704
2003-04-01;117,561691;102,422925;189,385;61,679096;570,299308;403,114714;37,38027;57,60659;182,113742;103,00726;137,256031
2003-05-01;108,16323;102,544508;131,856659;72,524203;389,791639;306,885106;46,818897;53,55322;150,786102;103,127124;137,362046
2003-06-01;106,487222;90,149584;209,543095;67,892365;513,05386;396,19413;128,190328;52,782322;162,373835;90,66152;144,358109
2003-07-01;109,784798;89,035645;185,68544;71,008144;552,294691;337,623594;162,104316;40,916103;139,14014;89,544052;124,071462
2003-08-01;101,341295;81,638935;54,854551;63,639412;284,995691;68,6349;197,270246;49,882889;164,703028;82,109121;69,74631
2003-09-01;112,517872;89,313076;201,515953;63,534621;507,360092;421,712061;228,710897;51,508647;192,1875;89,829256;71,557933
2003-10-01;116,335022;97,653911;224,784559;70,626844;568,144909;386,834334;135,832178;51,612976;224,155668;98,215308;55,046019
2003-11-01;100,577511;92,431125;189,634043;65,541678;568,45268;253,384952;91,909352;58,389792;204,70691;92,960492;52,205914
2003-12-01;112,177645;97,719152;157,511037;74,821178;288,688946;216,550884;58,74432;58,07692;221,85559;98,274975;47,377061
2004-01-01;109,564317;99,313922;190,99115;76,775466;402,102488;339,18196;56,793105;54,28975;180,104814;99,880149;66,284161
2004-02-01;98,541873;90,515752;165,350494;66,524392;318,081098;310,108982;47,699317;52,114766;172,651398;91,034832;71,18136
2004-03-01;117,037493;100,791494;209,124413;79,120548;392,56158;394,138657;46,628099;60,080446;202,057453;101,372472;104,410163
2004-04-01;108,138464;100,804921;151,81552;80,623581;386,25227;404,557021;38,0607;57,610589;173,029891;101,381437;135,556831
2004-05-01;98,738451;97,142777;140,828723;76,457143;303,61585;303,397726;47,51615;60,83269;155,997671;97,696544;131,805627
2004-06-01;109,667741;94,128417;191,525337;78,881535;440,420005;370,642927;129,638812;55,781172;193,643245;94,667446;152,451176
2004-07-01;101,012077;88,041757;148,65375;79,87793;328,237548;317,362443;164,06621;34,542819;139,838898;88,547221;122,856362
2004-08-01;107,552098;85,244427;65,494853;74,002011;253,757066;64,713563;199,768949;48,954251;188,781056;85,737035;72,79283
2004-09-01;106,984127;90,653456;171,941125;74,443774;400,409746;399,25713;230,43099;52,435804;197,137034;91,177075;72,378127
2004-10-01;105,109305;93,613917;178,271883;74,639462;323,313209;387,997055;136,785229;62,467143;224,184783;94,15172;52,829365
2004-11-01;105,6518;97,877224;173,709695;72,025145;279,301924;282,976723;92,178166;56,670649;190,557065;98,438571;55,41645
2004-12-01;108,892696;99,120027;136,331502;89,595721;289,920031;241,686664;58,809566;60,884001;217,05163;99,684413;48,107556
2005-01-01;105,160379;99,545268;160,571746;83,741511;304,077507;328,0722;54,309439;57,023724;159,724379;100,11079;65,677509
2005-02-01;95,658555;92,666241;117,967249;63,969181;308,078533;250,34402;45,906605;57,550978;179,027562;93,195657;71,929255
2005-03-01;114,760288;103,344774;131,033011;87,240491;300,845909;331,277885;45,066144;60,068929;204,794255;103,938149;105,999826
2005-04-01;104,312438;99,824163;125,799487;77,58454;325,159836;315,787351;37,870115;60,010393;179,260481;100,393725;133,39785
2005-05-01;106,592632;101,244404;122,558312;87,435782;313,156758;250,376528;45,915681;63,539853;172,709627;101,822391;136,651116
2005-06-01;104,522076;93,753519;156,276648;80,643506;390,407181;290,212173;124,702717;55,856655;178,212345;94,289156;151,214396
2005-07-01;94,923116;84,746725;98,700657;81,655369;283,764606;268,380909;155,132203;39,971963;137,36413;85,230497;117,179921
2005-08-01;110,344701;89,149386;31,148495;87,976551;239,137933;68,274955;186,988875;49,368419;202,028339;89,663275;75,332978
2005-09-01;107,112853;89,783914;155,720811;80,932053;409,488997;319,368481;217,662084;55,805424;208,957686;90,302695;71,808133
2005-10-01;104,019234;93,597698;159,79935;74,089733;355,629187;317,019365;127,817018;66,975788;214,402174;94,135787;52,755456
2005-11-01;107,59914;97,436808;138,417693;71,853268;386,098384;231,709766;87,262235;63,362041;205,929736;97,996243;55,365243
2005-12-01;106,799283;96,237247;130,390551;79,38279;296,844883;214,601511;57,794888;65,894508;205,405668;96,787153;46,906544
2006-01-01;105,352798;99,840324;155,576438;80,532439;384,405642;297,158679;45,672103;65,385462;184,704969;100,409695;66,565727
2006-02-01;96,069695;91,01219;105,154133;70,456445;323,62098;213,370721;38,932841;58,933819;172,360248;91,535045;71,558755
2006-03-01;114,474143;102,757079;149,837609;88,325854;366,093409;279,321861;47,54456;67,486283;217,459239;103,34988;106,469921
2006-04-01;99,377195;94,575661;114,213549;86,336383;313,772301;278,394452;38,818537;66,435795;182,375776;95,117451;127,260109
2006-05-01;108,030811;101,752441;115,361315;102,754732;314,695614;239,783674;51,066605;68,739994;185,374612;102,334814;138,577018
2006-06-01;102,373839;92,298808;146,719144;88,930789;333,008002;273,969101;105,642298;62,327793;184,704969;92,828064;149,951699
2006-07-01;92,727137;83,672299;136,187129;87,31764;257,604206;223,185597;180,867068;48,82145;125,951087;84,152413;117,543724
2006-08-01;108,794307;88,193047;55,684696;86,67463;211,746294;75,5445;188,601214;39,548512;224,592391;88,703739;75,425368
2006-09-01;101,242298;88,303618;146,307681;86,824856;345,780508;271,042139;201,390368;54,881598;205,696817;88,81547;70,589427
2006-10-01;106,236291;96,299635;155,829091;87,465972;354,551988;296,002284;142,079206;70,938921;248,641304;96,855172;54,457575
2006-11-01;104,837858;97,977654;150,494507;85,799599;311,310131;217,758282;94,478805;68,975197;214,780668;98,540834;55,965213
2006-12-01;99,973336;94,49125;134,873334;80,708244;237,599077;161,52907;58,464889;72,732048;192,653339;95,030691;46,014203
2007-01-01;109,426498;103,091306;142,517888;94,652908;345,626622;254,839869;57,117953;70,405746;216,469332;103,681385;69,088489
2007-02-01;96,908006;91,546651;133,357417;80,624972;326,08315;194,933447;51,331741;71,032832;198,738354;92,072889;71,931685
2007-03-01;109,904723;101,065097;161,423547;98,193363;335,162401;259,06824;50,649035;74,043334;213,674301;101,646965;104,189208
2007-04-01;105,300916;98,371866;132,613896;96,488797;290,073916;260,613414;43,146932;72,018244;193,177407;98,935426;132,573394
2007-05-01;108,482875;99,813716;107,911665;105,312424;280,379123;223,713426;54,623083;71,446415;211,403339;100,386843;136,184301
